REGISTRO;F_1;F_2_COD_1;F_3;F_4;F_5;F_6;F_7;P1_1;P1_2;P1_3;P1_4;P1_5;P1_6;P1_7;P1_8;P1_9;P1_10;P1_11;P1_12;P1_13;P1_14;P1_15;P1_16;P1_17;P1_18;P1_19;P1_20;P1_21;P1_22;P1_23;P1_24;P1_25;P1_26;P1_27;P1_28;P1_29;P1_98O;P1_98;P2_1;P2_02;P2_3;P2_4;P2_5;P2_6;P2_7;P2_8;P2_9;P2_10;P2_11;P2_12;P2_13;P2_14;P2_98O;P2_98;P3_1;P3_2;P3_3;P3_4;P4;P5_1;P5_2;P5_3;P5_4;P5_5;P5_6;P5_7;P5_8;P5_9;P5_10;P5_11;P5_12;P5_13;P5_14;P5_15;P5_16;P5_98O;P5_98;P6;P7;P8_1;P8_2;P8_3;P8_4;P8_5;P8_6;P8_7;P8_8;P8_9;P8_10;P8_11;P8_12;P8_13;P8_14;P8_15;P8_16;P8_17;P8_18;P8_19;P8_20;P8_21;P9_COD_1;P9_COD_2;P9_COD_3;P9_COD_4;P10;P11A;P11_1;P11_2;P11_3;P11_4;P11_5;P11_6;P11_7;P11_8;P12;P13;P14_COD_1;P14_COD_2;P14_COD_3;P15_1;P15_2;P15_3;P16_1;P16_2;P16_3;P16_4;P17;P18;P19_1;P19_2;P19_3;P19_4;P19_5;P20;P21_1;P21_2;P21_3;P22;P23_1;P23_2;P24;P25;P26;P27_1;P27_2;P27_3;P28_COD_1;P28_COD_2;P28_COD_3;P29;P30;P31_1;P31_2;P31_3;P31_4;P32_1;P32_2;P32_3;P32_4;P32_5;P32_6;P32_7;P32_8;P32_9;P33;P34;P35;P36;P37;P38_1;P38_2;P39;P40_1;P40_2;P40_3;P41_COD_1;P41_COD_2;P42;P43;P44;FACTOR
342;1;22;3;12;1;5;2;3;5;2;3;2;3;5;1;1;5;3;3;2;3;4;1;1;1;1;2;2;1;2;3;4;4;2;2;2;52;5;3;1;1;5;1;3;2;5;4;4;2;3;3;4; ; ;1;2;2;2;4;0;0;4;3;3;1;5;5;1;1;2;1;1;1;5;5; ; ;5;1;5;3;5;4;4;2;3;2;5;4;4;5;1;2;4;4;5;5;3;1;4;7; ; ; ;1;1; ; ; ; ; ; ; ; ;4;2;18;22; ;1;2;1;1; ; ; ; ;7;5; ; ; ; ;3;1; ; ;1;3;1998;2; ;2011;7; ; ;15; ; ;1;1;16; ; ; ;1;1;5;1;5;3;3;4;2;1;1;1;26;5; ; ;5; ; ; ;112; ;4;1;7;,72100993449308
343;1;69;4;9;9;5;1;5;1;5;5;5;5;1;5;5;5;1;4;3;5;3;1;3;1;3;3;1;1;5;5;5;5;5;5;1; ; ;5;5;1;5;1;1;1;4;5;1;3;5;3;5; ; ;1;2;2;2;4;3;3;4;4;5;4;5;4;5;5;5;5;5;5;1;5; ; ;5;1;5;1;5;5;5;3;5;5;5;5;5;5;3;4;5;5;5;5;3;4;5;24; ; ; ;1;99; ; ; ; ; ; ; ; ;3;1;6; ; ;3;3;4;1; ; ; ; ;99;5; ; ; ; ;1;1; ; ;2;9;2010;2; ;2011;7; ; ; ; ; ;1;1;20; ; ; ;1;1;3;1;3;4;5;3;3;1;2; ; ;5; ; ;3;5; ; ;62; ;3;1;7;1,67165560423987
344;1;77;4;12;1;5;2;5;1;5;3;1;1;4;2;5;5;1;1;1;3;2;3;4;1;1;5;5;1;1;5;1;5;5;5;1;51;5;5;5;1;5;1;1;1;5;1;1;2;4;1;5; ; ;1;2;2;2;5;5;5;5;5;5;2;3;3;5;5;5;4;5;1;5;5; ; ;5;1;1;1;5;5;4;3;4;3;4;4;1;4;1;1;1;1;2;4;4;2;5;13;22;27; ;1;1;2;12;7;38; ; ; ; ;5;3;5; ; ;5;5;3;2; ; ; ;2; ; ; ; ; ; ;1;1; ; ;2;9;1993;1;22;2012;6;4; ;13; ; ;1;1;4;2;3; ;5;1;4;4;4;4;5;5;5;2;1;2;7;5; ; ;5; ; ; ;141; ;4;1;6;,888030888030888
345;1;54;2;1;1;5;2;5;1;5;5;5;1;0;5;1;1;1;3;5;5;4;3;4;1;5;1;5;4;4;5;5;3;5;5;1; ; ;5;1;1;5;3;1;1;5;5;5;4;5;4;5; ; ;1;2;2;2;4;5;5;4;4;5;4;5;5;5;3;3;5;5;3;3;5; ; ;5;1;5;5;5;4;4;4;4;3;5;5;5;5;2;3;5;5;5;5;5;3;5;13;18; ; ;1;1;2; ; ; ; ; ; ; ;4;5;16; ; ;4;5;3;2; ; ; ;2; ; ; ; ; ; ;3;2; ; ;1;3;1998;1;13;2012; ; ; ; ; ; ;1;1;30; ; ; ;4;4;4;1;4;2;4;4;4;1;2; ; ;5; ; ;4;11; ; ;66; ;4;2;6;,439604933986956
347;1;35;1;5; ;2; ;5;1;4;5;5;1;0;5;5;4;1;5;4;5;4;4;5;5;4;4;5;4;1;4;4;5;5;4;5; ; ;5;4;5;5;5;4;4;5;1;4;5;4;4;3; ; ;1;2;2;1;4;4;4;5;3;4;4;5;4;4;4;5;4;4;4;4;5; ; ;4;2;5;5;4;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;7; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;3;2; ; ;2;1;2004;1;5;2012; ; ; ; ; ; ;3;1;20; ; ; ;5;5;5;5;5;5;5;5;5;3;1;6;14; ; ; ; ; ; ; ; ; ; ; ; ;1,67165560423987
348;1;11;1;5; ;3; ;5;4;4;5;5;1;1;5;5;5;4;5;3;5;4;4;4;5;4;4;5;5;3;5;5;5;5;5;5; ; ;5;5;2;3;5;5;1;5;4;5;5;5;4;5; ; ;1;2;1;1;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5; ; ;4;1;5;2;5;5;5;2;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;1; ; ; ;1;1;9;3;34;47; ; ; ; ;5;5;3; ; ;5;5;5;99; ; ; ;2; ; ; ; ; ; ;2;1; ; ;2;1;2014;2; ;9999; ; ; ; ; ; ;3;2;2;35; ; ;4;3;5;1;5;5;5;2;4;3;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;1,2796986392492
352;1;2;2;5;5;6;2;5;1;5;5;5;1;0;5;5;5;1;3;3;3;1;5;5;1;1;5;5;5;5;5;5;1;3;5;1;47;5;5;5;1;5;1;5;1;5;3;3;3;5;5;5; ; ;2;2;2;2; ;4;4;5;5;5;3;5;5;5;5;5;5;0;5;3;5; ; ;5;1;5;1;5;5;5;5;1;1;5;5;5;5;1;3;5;5;5;5;5;5;5;3; ; ; ;1;11;16;1;3; ; ; ; ; ;5;2;17; ; ;4;5;3;1; ; ; ; ;8;5; ; ; ; ;2;2; ; ;3;2;2010;2; ;2016; ; ; ; ; ; ;3;1;2;18; ; ;5;3;5;3;5;3;5;5;3;1;1;5;1;1;1; ;5; ; ; ;54; ;1;8;1;1,2796986392492
353;1;34;2;2;5;5;1;5;5;1;3;3;1;5;0;5;5;5;3;2;1;1;3;4;3;5;5;1;5;1;1;5;5;5;1;1; ; ;1;5;5;5;5;1;5;1;5;4;5;5;1;1; ; ;1;1;2;2;2;3;5;5;5;2;1;2;1;1;5;3;1;1;1;5;3; ; ;2;2;3;4;5;5;5;1;5;3;5;5;5;4;2;2;2;5;5;5;1;3;4;2; ; ; ;1;2;5; ; ; ; ; ; ; ;5;3;99; ; ;1;1;1;1; ; ; ; ;1;12; ; ; ; ;1;1;2; ;1;1;1998;1;5;2013;5; ; ;15; ; ;1;1;2;20; ; ;4;4;5;3;5;5;4;5;2;2;1;4;12;5; ; ;5; ; ; ;62; ;3;1;4;1,67165560423987
354;1;36;4;9;9;4;2;5;1;4;5;5;5;1;3;5;5;1;5;3;2;5;1;1;1;1;5;1;4;3;5;3;4;1;5;3; ; ;5;5;2;5;1;4;3;3;5;4;2;5;2;5; ; ;1;2;2;2;4;4;4;5;4;5;4;4;4;3;5;3;1;2;2;5;5; ; ;5;1;3;4;5;5;5;4;5;4;5;5;5;5;2;5;4;5;5;4;5;4;5;27; ; ; ;1;99; ; ; ; ; ; ; ; ;2;4;7; ; ;4;4;4;1; ; ; ; ;2;5; ; ; ; ;1;1; ; ;2;99;2003;2; ;2008; ; ; ; ; ; ;3;1;29; ; ; ;4;2;3;3;5;4;5;4;4;1;2; ; ;5; ; ;5; ; ; ;62; ;3;1;4;1,67165560423987
355;1;47;1;34; ;5;2;5;2;5;4;5;1;0;5;5;5;3;4;1;3;3;3;5;1;1;4;1;1;1;5;2;4;5;3;2; ; ;4;5;1;5;3;1;2;3;5;4;5;5;5;3; ; ;1;2;2;1;4;3;3;4;3;3;1;3;3;4;5;3;5;3;5;4;5; ; ;5;3;3;1;2;1;1;1;1;1;1;2;1;3;3;1;1;5;3;4;1;4;3;27; ; ; ;1;0; ; ; ; ; ; ; ; ;3;2;2;23; ;4;4;4;1; ; ; ; ;9;5; ; ; ; ;1;1; ; ;1;8;1999;1;23;2015;6;4; ;99; ; ;1;1;20; ; ; ;5;3;5;3;5;5;5;4;3;1;2; ; ;5; ; ;5; ; ; ;62; ;4;1;9;1,67165560423987
356;1;57;2;5;5;5;2;5;4;4;4;5;5;1;5;5;5;2;3;2;5;4;5;4;3;3;5;1;3;5;4;5;4;4;4;3; ; ;5;4;1;5;4;3;1;4;4;4;5;5;3;4; ; ;1;2;2;2;4;5;5;4;4;4;2;4;4;4;5;4;5;4;4;5;5; ; ;5;1;4;1;5;5;5;4;3;2;4;4;4;5;4;4;5;5;5;4;4;3;5;27; ; ; ;1;99; ; ; ; ; ; ; ; ;3;4;6; ; ;4;4;3;1; ; ; ; ;8;5;6;7; ; ;2;1;5; ;1;8;2001;1;12;2012; ; ; ; ; ; ;1;1;2;1; ; ;3;1;4;1;4;4;5;4;4;2;2; ; ;5; ; ;5; ; ; ;11; ;4;2;6;,439604933986956
357;1;35;1;5; ;5;2;5;3;5;5;5;5;0;5;5;5;1;1;1;4;3;5;4;5;5;5;5;1;1;5;5;3;5;5;5; ; ;5;2;1;5;1;1;3;5;5;2;5;5;5;5; ; ;1;2;1;2;5;5;5;5;5;5;1;4;3;5;5;3;3;5;5;5;5; ; ;5;1;5;5;5;4;5;3;2;1;4;4;5;5;5;1;1;3;5;5;5;5;5;14;18;36; ;1;5; ; ; ; ; ; ; ; ;1;5;3; ; ;5;5;5;1;2; ; ; ;10;5; ; ; ; ;2;5;1;4;1;6;2010;1;4;2016; ; ; ; ; ; ;1;1;0; ; ; ;5;5;5;5;5;5;5;5;5;1;2; ; ;5; ; ;1;5;3;29;62; ;2;4;2;1,67165560423987
358;1;33;2;5;5;5;2;5;1;5;3;5;1;1;5;5;5;1;1;1;5;3;5;1;5;1;5;1;1;1;5;5;5;1;3;1; ; ;5;3;1;5;1;1;5;4;5;3;5;4;2;5; ; ;1;2;2;2;5;5;5;5;4;5;2;5;5;5;5;5;5;5;4;1;5; ; ;5;1;5;3;5;2;5;1;5;3;5;5;5;4;3;1;3;3;5;4;3;3;5;13;24; ; ;1;99; ; ; ; ; ; ; ; ;3;1;99; ; ;2;1;1;99; ; ; ;2; ; ; ; ; ; ;2;1;5; ;2;1;2002;2; ;2012; ; ; ; ; ; ;3;1;20; ; ; ;2;1;1;1;5;2;1;1;1;1;2; ; ;5; ; ;5; ; ; ;62; ;3;1;99;1,67165560423987
359;1;6;1;5; ;4;1;5;3;5;3;5;1;1;5;5;5;1;5;3;5;3;5;5;5;5;5;5;1;1;5;5;5;4;5;1; ; ;5;5;1;5;1;1;1;5;5;5;5;5;1;5; ; ;2;2;2;2; ;5;5;3;1;5;1;5;5;5;5;5;5;5;2;3;5; ; ;5;1;3;3;5;5;5;5;5;4;5;5;5;5;5;2;5;5;5;5;5;5;5;24; ; ; ;1;5; ; ; ; ; ; ; ; ;4;4;12; ; ;4;4;3;1; ; ; ; ;7;11; ; ; ; ;2;5; ; ;1;1;2010;2; ;2015; ; ; ; ; ; ;1;1;2;6; ; ;5;1;5;3;4;3;5;4;4;3;1;5;27;5; ; ;5; ; ; ;20; ;2;1;1;,888030888030888
360;1;79;1;5; ;4;1;4;4;4;3;4;3;1;5;3;3;2;4;3;3;4;5;5;5;5;5;1;1;3;3;2;3;4;5;4; ; ;5;3;3;4;4;1;3;4;3;3;5;4;4;5; ; ;1;2;2;2;4;4;4;5;4;5;3;4;4;5;5;4;5;5;4;4;4; ; ;4;3;4;1;4;5;5;4;4;4;4;4;5;5;5;2;3;3;3;4;4;4;4;6;34; ; ;1;99; ; ; ; ; ; ; ; ;4;3;16; ; ;4;4;4;99; ; ; ;1;8;5;7; ; ; ;2;5;1; ;1;5;2010;2; ;2014; ; ; ; ; ; ;3;1;2;99; ; ;4;3;5;3;4;5;5;5;5;2;1;6;6;1;1; ;2;1;3; ;135; ;1;6;1;,72100993449308
363;1;1;1;5; ;5;1;1;1;5;1;5;1;0;5;5;1;1;3;1;5;3;1;4;5;1;5;5;1;1;5;1;1;1;1;1; ; ;5;1;1;4;1;1;1;3;3;1;1;3;1;1; ; ;1;2;1;2;5;5;5;5;5;5;3;5;5;5;5;5;3;0;5;4;5; ; ;5;1;4;1;5;3;3;3;3;1;3;4;5;5;1;3;3;5;5;5;5;1;5;1; ; ; ;1;99; ; ; ; ; ; ; ; ;3;5;12; ; ;1;3;3;99; ; ; ;1;7;5; ; ; ; ;1;1;5; ;1;99;2006;1;8;2015; ; ; ; ; ; ;3;1;2; ; ; ;3;1;5;3;5;5;5;5;3;1;1;1;24;5; ; ;5; ; ; ;81; ;3;4;4;1,2796986392492
364;1;14;2;5;5;5;2;5;1;3;5;5;1;0;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1;1;3;5;5;5;5;1; ; ;5;5;1;5;1;1;1;1;5;5;1;1;5;5; ; ;1;1;1;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5; ; ;5;1;5;1;5;5;5;1;5;5;5;5;5;5;1;1;5;5;5;5;5;5;5;13; ; ; ;1;5;1; ; ; ; ; ; ; ;5;5;5;6; ;5;5;5;1; ; ; ; ;10;5;7; ; ; ;2;1;5; ;1;1;2008;1;4;2015; ; ; ; ; ; ;1;1;0; ; ; ;4;1;5;4;5;3;5;5;5;1;2; ; ;5; ; ;5; ; ; ;99; ;4;1;6;1,2796986392492
366;1;35;2;5;5;5;2;5;4;5;5;5;5;0;5;5;5;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;4; ; ;5;5;5;5;4;5;4;5;4;5;5;5;5;5; ; ;1;2;2;1;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5; ; ;5;1;5;5;5;4;4;4;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;34; ; ; ;1;0; ; ; ; ; ; ; ; ;4;4;16; ; ;4;4;4;1; ; ; ; ;8;7;11; ; ; ;2;1;10; ;2;1;9999;2; ;2011; ; ; ; ; ; ;3;3;29; ; ; ;4;4;5;2;5;5;2;4;4;3;1;4;7;5; ; ;5; ; ; ;62; ;2;1;6;1,67165560423987
367;1;57;1;5; ;5;2;5;1;4;4;4;1;0;4;5;4;1;3;1;4;3;3;4;1;3;4;3;3;1;4;3;1;1;4;1;51;5;5;3;1;4;1;1;1;3;4;5;5;3;1;4; ; ;1;2;2;2;3;3;3;4;3;3;1;4;3;0;5;4;5;5;1;4;5; ; ;5;3;1;4;5;5;4;4;5;3;5;5;5;4;3;3;5;5;4;5;4;3;5;1;18; ; ;1;9;1;2; ; ; ; ; ; ;3;3;2; ; ;3;3;2;1; ; ; ; ;5;5; ; ; ; ;1;1; ; ;1;9;2011;2; ;2014; ; ; ; ; ; ;4;1;2;3; ; ;4;1;4;1;5;4;4;3;2;1;2; ; ;5; ; ;4;3;8; ;56; ;2;4;6;,439604933986956
368;1;4;1;5; ;1; ;5;2;3;5;5;1;0;5;5;5;1;3;1;2;2;1;5;5;1;1;5;2;1;4;1;4;4;1;1; ; ;4;5;1;3;4;3;1;3;5;4;5;4;3;2; ; ;1;2;2;2;4;4;4;5;5;4;3;4;4;5;5;5;5;5;0;4;4; ; ;5;2;5;3;5;3;3;3;5;3;5;5;5;4;4;4;3;5;4;5;5;5;5;34; ; ; ;1;5; ; ; ; ; ; ; ; ;4;3;3; ; ;4;5;2;1; ; ; ; ;5;5; ; ; ; ;2;2; ; ;1;1;2011;2; ;2014; ; ; ; ; ; ;1;1;30; ; ; ;3;1;5;1;4;5;4;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1,2796986392492
371;1;4;1;5; ;6;1;3;1;5;5;5;4;0;4;4;3;3;2;2;4;3;5;2;4;1;4;5;1;1;2;3;5;2;5;3;47;5;5;3;1;3;1;2;1;3;3;3;3;4;2;5;25;5;1;2;2;2;1;3;3;3;3;4;2;4;3;4;4;3;4;3;2;3;4; ; ;5;1;5;3;5;3;4;3;5;3;3;5;4;2;5;3;3;5;5;5;5;5;5;1;25; ; ;1;5;1;2;9;19; ; ; ; ;5;3;17; ; ;3;4;4;99; ; ; ;1;5;5;11; ; ; ;2;5;1; ;1;3;2011;2; ;2014; ; ; ; ; ; ;3;1;2; ; ; ;5;4;4;3;3;4;5;5;5;3;1;4;1;5; ; ;4;9; ; ;36; ;1;7;2;1,2796986392492
372;1;11;1;5; ;5;1;4;3;5;5;5;1;1;5;3;3;1;3;2;5;3;3;5;3;5;5;5;1;3;5;3;3;3;5;1; ; ;5;5;3;4;3;4;1;5;5;5;5;5;5;5; ; ;1;2;1;2;4;5;5;5;5;5;3;5;3;5;5;4;5;3;4;5;5; ; ;5;1;5;5;5;5;5;3;3;3;5;5;5;3;4;1;4;3;3;3;5;5;5;18;31;37; ;1;5;6;1; ; ; ; ; ; ;5;5;2; ; ;5;5;4;99; ; ; ;1;9;5; ; ; ; ;1;1; ; ;1;1;2012;2; ;2015; ; ; ; ; ; ;3;1;2; ; ; ;5;1;5;5;5;3;3;4;4;1;2; ; ;5; ; ;5; ; ; ;47; ;4;5;5;1,2796986392492
373;1;57;1;5; ;5;2;5;2;3;3;4;1;0;4;5;5;1;2;1;4;3;1;5;2;5;5;3;3;1;2;1;4;2;4;3; ; ;4;5;1;5;3;3;1;3;5;5;5;3;2;3; ; ;1;2;2;2;3;3;3;4;3;4;1;5;3;5;5;5;5;5;3;2;5; ; ;3;2;3;3;5;3;5;3;3;2;4;4;3;4;1;3;4;5;4;4;5;3;5;13;14; ; ;1;2; ; ; ; ; ; ; ; ;5;3;2; ; ;4;4;3;1; ; ; ; ;8;5; ; ; ; ;1;1; ; ;1;2;2008;1;8;2014; ; ; ; ; ; ;1;1;6;2; ; ;3;2;5;4;3;4;5;3;3;2;1;5;14;4;6; ;5; ; ; ;46; ;4;5;5;,439604933986956
374;1;86;1;5; ;3; ;4;4;3;4;5;3;1;5;4;4;3;3;3;4;3;4;5;4;4;4;3;1;4;3;4;4;4;4;4; ; ;5;4;3;4;3;1;4;4;2;3;3;4;4;4; ; ;1;2;2;2;3;3;3;4;4;4;3;4;4;4;5;4;4;4;4;4;5; ; ;3;3;3;1;3;4;4;3;3;3;4;4;4;4;3;3;4;2;3;2;3;4;3;21;37; ; ;1;99; ; ; ; ; ; ; ; ;4;3;99; ; ;4;4;3;99; ; ; ;1;4;5; ; ; ; ;3;2; ; ;1;1;2007;1;4;2013; ; ; ; ; ; ;2;2;6;2; ; ;4;4;5;1;4;3;4;3;3;3;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;,888030888030888
375;1;78;2;5;5;5;1;1;4;2;2;2;5;5;1;1;2;5;2;4;2;2;1;2;3;4;2;1;5;3;2;4;2;2;2;1; ; ;4;4;1;4;3;1;5;3;4;4;4;4;3;4; ; ;1;1;2;2;4;3;3;4;4;4;4;4;4;5;4;3;4;5;4;4;4; ; ;5;1;4;3;4;4;4;3;4;3;4;4;4;4;4;2;3;4;4;3;5;4;5;7; ; ; ;1;99; ; ; ; ; ; ; ; ;4;4;12; ; ;4;4;4;99; ; ; ;1;9;5;14; ; ; ;1;1; ; ;1;9;2007;1;8;2013; ; ; ; ; ; ;1;1;26; ; ; ;3;4;4;3;4;4;5;4;5;2;1;4;7;4;99; ;4;99; ; ;18; ;4;2;3;1,2796986392492
376;1;3;2;5;5;6;1;3;3;5;4;5;1;0;5;3;3;1;1;1;5;1;3;3;4;5;3;5;1;3;4;5;1;3;5;1; ; ;5;1;1;5;1;1;1;5;5;4;5;5;1;5; ; ;1;2;1;2;4;4;4;5;4;5;1;5;5;5;3;3;5;5;3;5;5; ; ;4;1;5;1;5;4;5;2;4;1;5;5;5;5;1;3;5;5;5;5;5;1;5;24; ; ; ;1;5;2; ; ; ; ; ; ; ;3;3;2; ; ;4;5;3;1;8; ; ; ;7;5;6; ; ; ;2;1;5; ;1;2;2011;2; ;2015; ; ; ; ; ; ;1;1;2; ; ; ;4;5;4;3;4;5;5;4;3;1;1;1;24;5; ; ;5; ; ; ;125; ;1;7;4;1,2796986392492
378;1;14;1;5; ;5;1;5;1;5;3;5;1;1;5;5;5;1;1;1;4;4;5;4;1;3;5;5;1;1;2;3;4;3;5;1;42;5;4;2;5;5;1;2;4;3;5;4;3;5;0;5; ; ;1;2;2;2;4;4;4;5;3;5;2;5;5;5;5;5;5;5;0;5;5;25;5;4;1;3;1;5;5;5;3;4;3;5;4;5;5;4;3;5;5;5;4;5;5;5;13; ; ; ;1;5;1;2; ; ; ; ; ; ;5;3;2; ; ;4;3;3;1; ; ; ; ;3;5;8; ; ; ;1;1; ; ;2;9;2007;2; ;2014; ; ; ; ; ; ;3;1;30; ; ; ;4;3;5;3;5;3;5;4;3;2;2; ; ;2;1;99;5; ; ; ;18; ;4;2;3;1,2796986392492
383;1;86;1;5; ;5;2;5;1;5;5;5;5;1;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;3;2;5;5;4;5;3; ; ;5;5;3;5;1;1;4;5;1;5;3;5;4;5; ; ;1;2;2;2;5;5;5;5;5;5;3;5;5;5;3;5;5;5;4;5;5; ; ;5;1;5;1;5;5;5;3;5;3;5;5;5;5;4;3;3;1;5;5;5;4;5;1; ; ; ;1;5; ; ; ; ; ; ; ; ;5;3;2; ; ;5;5;5;1; ; ; ; ;10;5; ; ; ; ;1;1; ; ;1;8;2010;2; ;2015; ; ; ; ; ; ;1;1;2;29;40; ;5;1;5;3;3;5;5;5;3;2;1;6;1;1;1; ;3;1; ; ;147; ;1;6;1;,888030888030888
385;1;11;1;5; ;4;2;3;4;5;4;5;4;5;5;5;5;4;4;3;3;4;5;5;3;4;5;5;4;4;5;3;4;4;4;5; ; ;4;5;4;4;4;4;0;4;4;5;4;4;4;4; ; ;2;2;2;2; ;5;4;4;4;4;4;4;4;5;5;4;5;5;4;4;5; ; ;5;1;5;1;5;4;4;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;7; ; ; ;1;1;9; ; ; ; ; ; ; ;5;4;3; ; ;4;4;5;1; ; ; ; ;9;5; ; ; ; ;3;6; ; ;1;9;2009;2; ;2015; ; ; ; ; ; ;3;3;2; ; ; ;4;4;5;3;5;4;5;4;4;1;2; ; ;5; ; ;4;9; ; ;19; ;1;4;1;1,2796986392492
386;1;86;1;5; ;5;1;4;1;4;3;5;3;0;3;5;2;1;2;1;4;5;4;3;1;1;5;1;3;1;3;4;2;3;5;3;47;5;3;4;1;5;3;3;2;3;4;2;2;4;2;4;26;5;2;2;2;2; ;5;4;5;4;5;2;3;5;0;3;1;3;4;3;3;4; ; ;4;1;3;2;4;4;3;2;4;4;4;4;5;5;2;2;5;5;5;5;5;3;5;13; ; ; ;1;99; ; ; ; ; ; ; ; ;4;3;16; ; ;3;3;4;2;24; ; ;1;5;3;5; ; ; ;2;1; ; ;1;9;2008;2; ;2014; ; ; ; ; ; ;3;2;2;3; ; ;3;3;4;3;3;4;4;3;4;2;2; ; ;4;6; ;5; ; ; ;18; ;1;6;2;,888030888030888
391;1;4;2;5;5;6;1;0;1;3;3;5;0;0;5;1;1;1;3;1;5;2;5;1;1;1;5;5;1;1;3;3;5;3;2;1; ; ;3;5;1;3;1;1;0;3;4;5;1;1;0;3; ; ;1;2;1;2;3;4;4;3;3;2;0;5;4;5;5;4;0;5;0;2;3; ; ;4;3;1;1;4;3;2;1;5;5;5;5;1;5;1;1;1;3;4;2;1;1;3;34; ; ; ;1;5; ; ; ; ; ; ; ; ;2;2;6; ; ;2;2;1;2; ; ; ;1;2;20; ; ; ; ;3;1; ; ;1;1;1998;1;12;9999; ; ; ; ; ; ;3;3;2;36; ; ;1;1;3;1;4;3;4;2;1;3;2; ; ;5; ; ;4;3; ; ;3; ;99;5;4;1,2796986392492
397;1;4;1;7; ;5;2;2;4;4;4;4;2;3;3;5;5;3;5;5;5;4;4;2;3;5;3;4;3;3;4;3;5;4;4;3; ; ;4;5;2;3;2;3;2;4;4;4;3;4;3;3; ; ;1;1;2;1;4;4;4;4;4;4;5;4;4;4;4;3;5;5;4;5;4; ; ;4;3;4;2;4;4;5;5;5;5;5;5;5;5;3;3;5;5;5;4;5;4;5;14; ; ; ;1;99; ; ; ; ; ; ; ; ;4;5;8; ; ;4;4;4;2; ; ; ;1;6;1;12; ; ; ;2;1;2; ;1;7;2003;2; ;2007;2; ; ;15; ; ;1;3;2;6; ; ;4;5;5;1;5;3;4;5;5;2;1;5;1;3;1; ;4;1;9; ;41; ;4;1;3;1,2796986392492
398;1;78;2;5;5;5;2;5;3;5;5;5;1;1;5;5;5;1;3;3;4;4;5;5;5;4;5;5;4;4;5;5;5;4;5;4; ; ;5;4;2;5;1;4;1;5;4;5;5;5;5;5; ; ;1;2;1;2;4;5;5;5;5;4;4;4;4;5;5;4;5;5;4;4;5; ; ;5;1;5;1;5;5;5;3;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;7;22; ; ;1;5;1; ; ; ; ; ; ; ;5;5;17; ; ;5;5;5;1; ; ; ; ;10;5; ; ; ; ;2;1;5; ;1;5;2009;2; ;2015; ; ; ; ; ; ;1;1;2; ; ; ;5;3;4;1;4;5;5;5;5;2;1;6;5;2;6; ;2;1; ; ;132; ;4;5;99;1,2796986392492
403;1;28;4;10;5;5;1;5;1;3;3;5;3;1;0;5;1;1;3;3;3;3;5;3;1;1;1;1;1;1;1;1;3;1;1;3; ; ;3;1;1;5;1;1;1;1;3;5;1;3;1;1; ; ;2;2;2;2; ;3;1;5;5;2;1;1;1;0;5;3;1;3;3;2;3; ; ;5;1;5;3;3;3;3;3;4;2;2;2;3;1;1;1;1;1;1;1;4;1;4;7; ; ; ;1;99; ; ; ; ; ; ; ; ;1;1;3; ; ;5;5;3;1; ; ; ; ;1;1; ; ; ; ;1;1; ; ;4;1;1989;1;12;1997;4; ; ;99; ; ;3;4;4; ; ; ;5;1;3;1;5;5;5;3;1;1;2; ; ;5; ; ;5; ; ; ;139; ;4;2;99;,888030888030888
404;1;2;1;5; ;6;2;5;5;5;3;5;1;0;3;5;3;1;3;1;3;3;5;3;5;1;5;5;1;2;4;5;4;3;4;1; ; ;5;2;1;4;3;1;1;4;3;3;5;5;2;3; ; ;1;2;2;1;4;4;5;4;3;3;2;3;4;5;4;4;1;5;2;5;5; ; ;4;1;3;1;4;3;2;1;4;2;4;4;5;5;3;1;4;4;5;3;5;4;4;24; ; ; ;1;3;2; ; ; ; ; ; ; ;3;4;6; ; ;3;3;4;2; ; ; ;1;8;5; ; ; ; ;3;5; ; ;1;1;2011;1;4;2014; ; ; ; ; ; ;3;3;2; ; ; ;5;4;4;1;4;2;2;3;4;3;2; ; ;4;1; ;5; ; ; ;68; ;1;7;3;1,2796986392492
